n,s,s_over_n,shape,config
2539,2539,1.000000,S1,"AGL(1,2539)"
2540,607,0.238976,S7f3,3x607 + 719* (q=359)
2541,839,0.330185,S7f2,2x839 + 863* (q=431)
2542,1259,0.495279,S3,1x1259 + 1283* (q=641)
2543,2543,1.000000,S1,"AGL(1,2543)"
2544,1237,0.486242,S3,1x1237 + 1307* (q=653)
2545,841,0.330452,S7f2,2x841 + 863* (q=431)
2546,1087,0.426944,S3,1x1087 + 1459* (q=3)
2547,1024,0.402042,S3,1x1024 + 1523* (q=761)
2548,1229,0.482339,S3,1x1229 + 1319* (q=659)
2549,2549,1.000000,S1,"AGL(1,2549)"
2550,1231,0.482745,S3,1x1231 + 1319* (q=659)
2551,2551,1.000000,S1,"AGL(1,2551)"
2552,1093,0.428292,S3,1x1093 + 1459* (q=3)
2553,839,0.328633,S7f2,2x857 + 839* (q=419)
2554,1277,0.500000,S2,2x1277
2555,512,0.200391,S7f3,3x512 + 1019* (q=509)
2556,1249,0.488654,S3,1x1249 + 1307* (q=653)
2557,2557,1.000000,S1,"AGL(1,2557)"
2558,1279,0.500000,S2,2x1279
2559,853,0.333333,S2,3x853
2560,1277,0.498828,S3,1x1277 + 1283* (q=641)
2561,359,0.140180,S7f6,6x367 + 359* (q=179)
2562,1279,0.499219,S3,1x1279 + 1283* (q=641)
2563,487,0.190012,S11,1x617 + 487* + 1459* (q=3)
2564,641,0.250000,S2,4x641
2565,839,0.327096,S7f2,2x839 + 887* (q=443)
2566,1283,0.500000,S2,2x1283
2567,277,0.107908,S7f4,4x277 + 1459* (q=3)
2568,1249,0.486371,S3,1x1249 + 1319* (q=659)
2569,853,0.332036,S7f2,2x853 + 863* (q=431)
2570,617,0.240078,S7f3,3x617 + 719* (q=359)
2571,857,0.333333,S2,3x857
2572,1283,0.498834,S3,1x1289 + 1283* (q=641)
2573,557,0.216479,S7f2,2x557 + 1459* (q=3)
2574,1283,0.498446,S3,1x1291 + 1283* (q=641)
2575,512,0.198835,S3,1x512 + 2063* (q=1031)
2576,1117,0.433618,S3,1x1117 + 1459* (q=3)
2577,859,0.333333,S2,3x859
2578,1289,0.500000,S2,2x1289
2579,2579,1.000000,S1,"AGL(1,2579)"
2580,1283,0.497287,S3,1x1297 + 1283* (q=641)
2581,859,0.332817,S7f2,2x859 + 863* (q=431)
2582,1291,0.500000,S2,2x1291
2583,499,0.193186,S7f4,4x499 + 587* (q=293)
2584,1283,0.496517,S3,1x1301 + 1283* (q=641)
2585,563,0.217795,S7f2,2x563 + 1459* (q=3)
2586,1283,0.496133,S3,1x1303 + 1283* (q=641)
2587,503,0.194434,S7f4,4x521 + 503* (q=251)
2588,1129,0.436244,S3,1x1129 + 1459* (q=3)
2589,863,0.333333,S2,3x863
2590,1283,0.495367,S3,1x1283 + 1307* (q=653)
2591,2591,1.000000,S1,"AGL(1,2591)"
2592,1153,0.444830,S3,1x1153 + 1439* (q=719)
2593,2593,1.000000,S1,"AGL(1,2593)"
2594,1297,0.500000,S2,2x1297
2595,503,0.193834,S7f4,4x523 + 503* (q=251)
2596,1289,0.496533,S3,1x1289 + 1307* (q=653)
2597,569,0.219099,S7f2,2x569 + 1459* (q=3)
2598,1291,0.496921,S3,1x1291 + 1307* (q=653)
2599,509,0.195845,S7f4,4x509 + 563* (q=281)
2600,587,0.225769,S7f3,3x587 + 839* (q=419)
2601,857,0.329489,S7f2,2x857 + 887* (q=443)
2602,1301,0.500000,S2,2x1301
2603,487,0.187092,S7f4,4x529 + 487* (q=3)
2604,1297,0.498080,S3,1x1297 + 1307* (q=653)
2605,859,0.329750,S7f2,2x859 + 887* (q=443)
2606,1303,0.500000,S2,2x1303
2607,487,0.186805,S11,1x661 + 487* + 1459* (q=3)
2608,1301,0.498850,S3,1x1301 + 1307* (q=653)
2609,2609,1.000000,S1,"AGL(1,2609)"
2610,1303,0.499234,S3,1x1303 + 1307* (q=653)
2611,563,0.215626,S7f2,2x1024 + 563* (q=281)
2612,1153,0.441424,S3,1x1153 + 1459* (q=3)
2613,863,0.330272,S7f2,2x863 + 887* (q=443)
2614,1307,0.500000,S2,2x1307
2615,523,0.200000,S2,5x523
2616,1297,0.495795,S3,1x1297 + 1319* (q=659)
2617,2617,1.000000,S1,"AGL(1,2617)"
2618,593,0.226509,S7f3,3x593 + 839* (q=419)
2619,503,0.192058,S7f4,4x529 + 503* (q=251)
2620,1301,0.496565,S3,1x1301 + 1319* (q=659)
2621,2621,1.000000,S1,"AGL(1,2621)"
2622,1303,0.496949,S3,1x1303 + 1319* (q=659)
2623,509,0.194053,S7f4,4x509 + 587* (q=293)
2624,587,0.223704,S7f3,3x587 + 863* (q=431)
2625,863,0.328762,S7f2,2x881 + 863* (q=431)
2626,1307,0.497715,S3,1x1307 + 1319* (q=659)
2627,227,0.086410,S11,3x227 + 487* + 1459* (q=3)
2628,1307,0.497336,S3,1x1321 + 1307* (q=653)
2629,863,0.328262,S7f2,2x883 + 863* (q=431)
2630,1171,0.445247,S3,1x1171 + 1459* (q=3)
2631,877,0.333333,S2,3x877
2632,1193,0.453267,S3,1x1193 + 1439* (q=719)
2633,2633,1.000000,S1,"AGL(1,2633)"
2634,1307,0.496203,S3,1x1327 + 1307* (q=653)
2635,587,0.222770,S7f2,2x1024 + 587* (q=293)
2636,729,0.276555,S3,1x729 + 1907* (q=953)
2637,863,0.327266,S7f2,2x887 + 863* (q=431)
2638,1319,0.500000,S2,2x1319
2639,269,0.101933,S7f8,8x269 + 487* (q=3)
2640,1319,0.499621,S3,1x1321 + 1319* (q=659)
2641,877,0.332071,S7f2,2x877 + 887* (q=443)
2642,1321,0.500000,S2,2x1321
2643,1024,0.387439,S3,1x1024 + 1619* (q=809)
2644,1283,0.485250,S3,1x1361 + 1283* (q=641)
2645,729,0.275614,S7f2,2x729 + 1187* (q=593)
2646,1319,0.498488,S3,1x1327 + 1319* (q=659)
2647,2647,1.000000,S1,"AGL(1,2647)"
2648,643,0.242825,S7f3,3x643 + 719* (q=359)
2649,883,0.333333,S2,3x883
2650,1319,0.497736,S3,1x1331 + 1319* (q=659)
2651,487,0.183704,S7f4,4x541 + 487* (q=3)
2652,1283,0.483786,S3,1x1369 + 1283* (q=641)
2653,883,0.332831,S7f2,2x883 + 887* (q=443)
2654,1327,0.500000,S2,2x1327
2655,523,0.196987,S7f4,4x523 + 563* (q=281)
2656,1289,0.485316,S3,1x1289 + 1367* (q=683)
2657,2657,1.000000,S1,"AGL(1,2657)"
2658,1291,0.485704,S3,1x1291 + 1367* (q=683)
2659,2659,1.000000,S1,"AGL(1,2659)"
2660,1201,0.451504,S3,1x1201 + 1459* (q=3)
2661,887,0.333333,S2,3x887
2662,1331,0.500000,S2,2x1331
2663,2663,1.000000,S1,"AGL(1,2663)"
2664,1297,0.486862,S3,1x1297 + 1367* (q=683)
2665,841,0.315572,S7f2,2x841 + 983* (q=491)
2666,601,0.225431,S7f3,3x601 + 863* (q=431)
2667,503,0.188601,S7f4,4x541 + 503* (q=251)
2668,1307,0.489880,S3,1x1361 + 1307* (q=653)
2669,487,0.182465,S7f2,2x1091 + 487* (q=3)
2670,1303,0.488015,S3,1x1303 + 1367* (q=683)
2671,2671,1.000000,S1,"AGL(1,2671)"
2672,1213,0.453967,S3,1x1213 + 1459* (q=3)
2673,827,0.309390,S7f2,2x827 + 1019* (q=509)
2674,1307,0.488781,S3,1x1307 + 1367* (q=683)
2675,487,0.182056,S7f4,4x547 + 487* (q=3)
2676,1307,0.488416,S3,1x1369 + 1307* (q=653)
2677,2677,1.000000,S1,"AGL(1,2677)"
2678,653,0.243839,S7f3,3x653 + 719* (q=359)
2679,529,0.197462,S7f4,4x529 + 563* (q=281)
2680,1319,0.492164,S3,1x1361 + 1319* (q=659)
2681,487,0.181649,S7f2,2x1097 + 487* (q=3)
2682,1283,0.478374,S3,1x1399 + 1283* (q=641)
2683,2683,1.000000,S1,"AGL(1,2683)"
2684,607,0.226155,S7f3,3x607 + 863* (q=431)
2685,863,0.321415,S7f2,2x911 + 863* (q=431)
2686,1319,0.491065,S3,1x1319 + 1367* (q=683)
2687,2687,1.000000,S1,"AGL(1,2687)"
2688,1321,0.491443,S3,1x1321 + 1367* (q=683)
2689,2689,1.000000,S1,"AGL(1,2689)"
2690,1231,0.457621,S3,1x1231 + 1459* (q=3)
2691,503,0.186919,S7f4,4x547 + 503* (q=251)
2692,1319,0.489970,S3,1x1373 + 1319* (q=659)
2693,2693,1.000000,S1,"AGL(1,2693)"
2694,1327,0.492576,S3,1x1327 + 1367* (q=683)
2695,467,0.173284,S7f4,4x557 + 467* (q=233)
2696,1237,0.458828,S3,1x1237 + 1459* (q=3)
2697,857,0.317760,S7f2,2x857 + 983* (q=491)
2698,1331,0.493328,S3,1x1331 + 1367* (q=683)
2699,2699,1.000000,S1,"AGL(1,2699)"
2700,1319,0.488519,S3,1x1381 + 1319* (q=659)
2701,887,0.328397,S7f2,2x907 + 887* (q=443)
2702,661,0.244634,S7f3,3x661 + 719* (q=359)
2703,529,0.195708,S7f4,4x529 + 587* (q=293)
2704,1217,0.450074,S3,1x1217 + 1487* (q=743)
2705,541,0.200000,S2,5x541
2706,1307,0.483001,S3,1x1399 + 1307* (q=653)
2707,2707,1.000000,S1,"AGL(1,2707)"
2708,1249,0.461226,S3,1x1249 + 1459* (q=3)
2709,887,0.327427,S7f2,2x911 + 887* (q=443)
2710,1283,0.473432,S3,1x1427 + 1283* (q=641)
2711,2711,1.000000,S1,"AGL(1,2711)"
2712,1283,0.473083,S3,1x1429 + 1283* (q=641)
2713,2713,1.000000,S1,"AGL(1,2713)"
2714,625,0.230287,S7f3,3x625 + 839* (q=419)
2715,499,0.183794,S7f4,4x499 + 719* (q=359)
2716,1307,0.481222,S3,1x1409 + 1307* (q=653)
2717,383,0.140964,S7f6,6x389 + 383* (q=191)
2718,1319,0.485283,S3,1x1399 + 1319* (q=659)
2719,2719,1.000000,S1,"AGL(1,2719)"
2720,619,0.227574,S7f3,3x619 + 863* (q=431)
2721,907,0.333333,S2,3x907
2722,1361,0.500000,S2,2x1361
2723,512,0.188028,S7f3,3x512 + 1187* (q=593)
2724,1237,0.454112,S3,1x1237 + 1487* (q=743)
2725,887,0.325505,S7f2,2x919 + 887* (q=443)
2726,613,0.224872,S7f3,3x613 + 887* (q=443)
2727,541,0.198387,S7f4,4x541 + 563* (q=281)
2728,1361,0.498900,S3,1x1361 + 1367* (q=683)
2729,2729,1.000000,S1,"AGL(1,2729)"
2730,1307,0.478755,S3,1x1423 + 1307* (q=653)
2731,2731,1.000000,S1,"AGL(1,2731)"
2732,683,0.250000,S2,4x683
2733,911,0.333333,S2,3x911
2734,1367,0.500000,S2,2x1367
2735,547,0.200000,S2,5x547
2736,1367,0.499635,S3,1x1369 + 1367* (q=683)
2737,877,0.320424,S7f2,2x877 + 983* (q=491)
2738,1369,0.500000,S2,2x1369
2739,487,0.177802,S7f4,4x563 + 487* (q=3)
2740,1367,0.498905,S3,1x1373 + 1367* (q=683)
2741,2741,1.000000,S1,"AGL(1,2741)"
2742,1319,0.481036,S3,1x1423 + 1319* (q=659)
2743,487,0.177543,S11,1x797 + 487* + 1459* (q=3)
2744,619,0.225583,S7f3,3x619 + 887* (q=443)
2745,887,0.323133,S7f2,2x929 + 887* (q=443)
2746,1373,0.500000,S2,2x1373
2747,199,0.072443,S7f12,12x199 + 359* (q=179)
2748,1367,0.497453,S3,1x1381 + 1367* (q=683)
2749,2749,1.000000,S1,"AGL(1,2749)"
2750,1291,0.469455,S3,1x1291 + 1459* (q=3)
2751,547,0.198837,S7f4,4x547 + 563* (q=281)
2752,1319,0.479288,S3,1x1433 + 1319* (q=659)
2753,2753,1.000000,S1,"AGL(1,2753)"
2754,1307,0.474582,S3,1x1447 + 1307* (q=653)
2755,509,0.184755,S7f4,4x509 + 719* (q=359)
2756,1297,0.470610,S3,1x1297 + 1459* (q=3)
2757,919,0.333333,S2,3x919
2758,1319,0.478245,S3,1x1319 + 1439* (q=719)
2759,271,0.098224,S11,3x271 + 487* + 1459* (q=3)
2760,1321,0.478623,S3,1x1321 + 1439* (q=719)
2761,887,0.321260,S7f2,2x937 + 887* (q=443)
2762,1381,0.500000,S2,2x1381
2763,487,0.176258,S7f4,4x569 + 487* (q=3)
2764,1283,0.464182,S3,1x1481 + 1283* (q=641)
2765,729,0.263653,S7f2,2x729 + 1307* (q=653)
2766,1367,0.494215,S3,1x1399 + 1367* (q=683)
2767,2767,1.000000,S1,"AGL(1,2767)"
2768,729,0.263367,S3,1x729 + 2039* (q=1019)
2769,887,0.320332,S7f2,2x941 + 887* (q=443)
2770,1331,0.480505,S3,1x1331 + 1439* (q=719)
2771,487,0.175749,S7f4,4x571 + 487* (q=3)
2772,1319,0.475830,S3,1x1453 + 1319* (q=659)
2773,877,0.316264,S7f2,2x877 + 1019* (q=509)
2774,587,0.211608,S7f3,3x729 + 587* (q=293)
2775,547,0.197117,S7f4,4x547 + 587* (q=293)
2776,1367,0.492435,S3,1x1409 + 1367* (q=683)
2777,2777,1.000000,S1,"AGL(1,2777)"
2778,1319,0.474802,S3,1x1319 + 1459* (q=3)
2779,503,0.181000,S7f4,4x569 + 503* (q=251)
2780,1321,0.475180,S3,1x1321 + 1459* (q=3)
2781,887,0.318950,S7f2,2x947 + 887* (q=443)
2782,1283,0.461179,S3,1x1499 + 1283* (q=641)
2783,331,0.118936,S7f4,4x331 + 1459* (q=3)
2784,1297,0.465876,S3,1x1297 + 1487* (q=743)
2785,883,0.317056,S7f2,2x883 + 1019* (q=509)
2786,1327,0.476310,S3,1x1327 + 1459* (q=3)
2787,929,0.333333,S2,3x929
2788,1307,0.468795,S3,1x1481 + 1307* (q=653)
2789,2789,1.000000,S1,"AGL(1,2789)"
2790,1367,0.489964,S3,1x1423 + 1367* (q=683)
2791,2791,1.000000,S1,"AGL(1,2791)"
2792,729,0.261103,S3,1x729 + 2063* (q=1031)
2793,887,0.317580,S7f2,2x887 + 1019* (q=509)
2794,1367,0.489263,S3,1x1427 + 1367* (q=683)
2795,487,0.174240,S7f4,4x577 + 487* (q=3)
2796,1367,0.488913,S3,1x1429 + 1367* (q=683)
2797,2797,1.000000,S1,"AGL(1,2797)"
2798,1399,0.500000,S2,2x1399
2799,487,0.173991,S11,1x853 + 487* + 1459* (q=3)
2800,1367,0.488214,S3,1x1433 + 1367* (q=683)
2801,2801,1.000000,S1,"AGL(1,2801)"
2802,1319,0.470735,S3,1x1483 + 1319* (q=659)
2803,2803,1.000000,S1,"AGL(1,2803)"
2804,701,0.250000,S2,4x701
2805,911,0.324777,S7f2,2x911 + 983* (q=491)
2806,1367,0.487170,S3,1x1367 + 1439* (q=719)
2807,401,0.142857,S2,7x401
2808,1369,0.487536,S3,1x1369 + 1439* (q=719)
2809,2809,1.000000,S1,"AGL(1,2809)"
2810,641,0.228114,S7f3,3x641 + 887* (q=443)
2811,937,0.333333,S2,3x937
2812,1373,0.488265,S3,1x1373 + 1439* (q=719)
2813,677,0.240668,S7f2,2x677 + 1459* (q=3)
2814,1367,0.485785,S3,1x1447 + 1367* (q=683)
2815,563,0.200000,S2,5x563
2816,659,0.234020,S7f3,3x659 + 839* (q=419)
2817,863,0.306354,S7f2,2x977 + 863* (q=431)
2818,1409,0.500000,S2,2x1409
2819,2819,1.000000,S1,"AGL(1,2819)"
2820,1381,0.489716,S3,1x1381 + 1439* (q=719)
2821,919,0.325771,S7f2,2x919 + 983* (q=491)
2822,701,0.248405,S7f3,3x701 + 719* (q=359)
2823,941,0.333333,S2,3x941
2824,1301,0.460694,S3,1x1301 + 1523* (q=761)
2825,729,0.258053,S7f2,2x729 + 1367* (q=683)
2826,1367,0.483723,S3,1x1367 + 1459* (q=3)
2827,491,0.173682,S7f4,4x491 + 863* (q=431)
2828,1369,0.484088,S3,1x1369 + 1459* (q=3)
2829,887,0.313538,S7f2,2x971 + 887* (q=443)
2830,1319,0.466078,S3,1x1511 + 1319* (q=659)
2831,343,0.121159,S7f4,4x343 + 1459* (q=3)
2832,1373,0.484816,S3,1x1373 + 1459* (q=3)
2833,2833,1.000000,S1,"AGL(1,2833)"
2834,617,0.217713,S7f3,3x617 + 983* (q=491)
2835,529,0.186596,S7f4,4x529 + 719* (q=359)
2836,1283,0.452398,S3,1x1553 + 1283* (q=641)
2837,2837,1.000000,S1,"AGL(1,2837)"
2838,1399,0.492953,S3,1x1399 + 1439* (q=719)
2839,563,0.198309,S7f4,4x563 + 587* (q=293)
2840,1381,0.486268,S3,1x1381 + 1459* (q=3)
2841,947,0.333333,S2,3x947
2842,1319,0.464110,S3,1x1319 + 1523* (q=761)
2843,2843,1.000000,S1,"AGL(1,2843)"
2844,1321,0.464487,S3,1x1321 + 1523* (q=761)
2845,863,0.303339,S7f2,2x991 + 863* (q=431)
2846,1423,0.500000,S2,2x1423
2847,1024,0.359677,S3,1x1024 + 1823* (q=911)
2848,1409,0.494733,S3,1x1409 + 1439* (q=719)
2849,487,0.170937,S7f2,2x1181 + 487* (q=3)
2850,1367,0.479649,S3,1x1483 + 1367* (q=683)
2851,2851,1.000000,S1,"AGL(1,2851)"
2852,523,0.183380,S7f3,3x523 + 1283* (q=641)
2853,887,0.310901,S7f2,2x983 + 887* (q=443)
2854,1427,0.500000,S2,2x1427
2855,571,0.200000,S2,5x571
2856,1369,0.479342,S3,1x1369 + 1487* (q=743)
2857,2857,1.000000,S1,"AGL(1,2857)"
2858,1429,0.500000,S2,2x1429
2859,953,0.333333,S2,3x953
2860,1373,0.480070,S3,1x1373 + 1487* (q=743)
2861,2861,1.000000,S1,"AGL(1,2861)"
2862,1423,0.497205,S3,1x1423 + 1439* (q=719)
2863,569,0.198743,S7f4,4x569 + 587* (q=293)
2864,659,0.230098,S7f3,3x659 + 887* (q=443)
2865,941,0.328447,S7f2,2x941 + 983* (q=491)
2866,1433,0.500000,S2,2x1433
2867,307,0.107081,S11,3x307 + 487* + 1459* (q=3)
2868,1429,0.498257,S3,1x1429 + 1439* (q=719)
2869,887,0.309167,S7f2,2x991 + 887* (q=443)
2870,677,0.235889,S7f3,3x677 + 839* (q=419)
2871,571,0.198885,S7f4,4x571 + 587* (q=293)
2872,1433,0.498955,S3,1x1433 + 1439* (q=719)
2873,487,0.169509,S7f2,2x1193 + 487* (q=3)
2874,1307,0.454767,S3,1x1567 + 1307* (q=653)
2875,509,0.177043,S7f4,4x509 + 839* (q=419)
2876,719,0.250000,S2,4x719
2877,947,0.329162,S7f2,2x947 + 983* (q=491)
2878,1439,0.500000,S2,2x1439
2879,2879,1.000000,S1,"AGL(1,2879)"
2880,1283,0.445486,S3,1x1597 + 1283* (q=641)
2881,887,0.307879,S7f2,2x997 + 887* (q=443)
2882,1423,0.493754,S3,1x1423 + 1459* (q=3)
2883,961,0.333333,S2,3x961
2884,1361,0.471914,S3,1x1361 + 1523* (q=761)
2885,577,0.200000,S2,5x577
2886,1439,0.498614,S3,1x1447 + 1439* (q=719)
2887,2887,1.000000,S1,"AGL(1,2887)"
2888,1429,0.494806,S3,1x1429 + 1459* (q=3)
2889,953,0.329872,S7f2,2x953 + 983* (q=491)
2890,1439,0.497924,S3,1x1451 + 1439* (q=719)
2891,487,0.168454,S7f4,4x601 + 487* (q=3)
2892,1439,0.497580,S3,1x1453 + 1439* (q=719)
2893,937,0.323885,S7f2,2x937 + 1019* (q=509)
2894,1447,0.500000,S2,2x1447
2895,577,0.199309,S7f4,4x577 + 587* (q=293)
2896,1409,0.486533,S3,1x1409 + 1487* (q=743)
2897,2897,1.000000,S1,"AGL(1,2897)"
2898,1439,0.496549,S3,1x1439 + 1459* (q=3)
2899,509,0.175578,S7f4,4x509 + 863* (q=431)
2900,719,0.247931,S7f3,3x727 + 719* (q=359)
2901,967,0.333333,S2,3x967
2902,1451,0.500000,S2,2x1451
2903,2903,1.000000,S1,"AGL(1,2903)"
2904,1381,0.475551,S3,1x1381 + 1523* (q=761)
2905,961,0.330809,S7f2,2x961 + 983* (q=491)
2906,1453,0.500000,S2,2x1453
2907,547,0.188166,S7f4,4x547 + 719* (q=359)
2908,1307,0.449450,S3,1x1601 + 1307* (q=653)
2909,2909,1.000000,S1,"AGL(1,2909)"
2910,1451,0.498625,S3,1x1451 + 1459* (q=3)
2911,863,0.296462,S7f2,2x1024 + 863* (q=431)
2912,1453,0.498970,S3,1x1453 + 1459* (q=3)
2913,971,0.333333,S2,3x971
2914,1427,0.489705,S3,1x1427 + 1487* (q=743)
2915,487,0.167067,S7f4,4x607 + 487* (q=3)
2916,1429,0.490055,S3,1x1429 + 1487* (q=743)
2917,2917,1.000000,S1,"AGL(1,2917)"
2918,1459,0.500000,S2,2x1459
2919,467,0.159986,S7f4,4x613 + 467* (q=233)
2920,1439,0.492808,S3,1x1481 + 1439* (q=719)
2921,487,0.166724,S7f2,2x1217 + 487* (q=3)
2922,1439,0.492471,S3,1x1483 + 1439* (q=719)
2923,521,0.178242,S7f4,4x521 + 839* (q=419)
2924,647,0.221272,S7f3,3x647 + 983* (q=491)
2925,971,0.331966,S7f2,2x971 + 983* (q=491)
2926,1439,0.491798,S3,1x1439 + 1487* (q=743)
2927,2927,1.000000,S1,"AGL(1,2927)"
2928,1439,0.491462,S3,1x1489 + 1439* (q=719)
2929,887,0.302834,S7f2,2x1021 + 887* (q=443)
2930,1459,0.497952,S3,1x1471 + 1459* (q=3)
2931,1024,0.349369,S3,1x1024 + 1907* (q=953)
2932,1439,0.490791,S3,1x1493 + 1439* (q=719)
2933,487,0.166042,S7f2,2x1223 + 487* (q=3)
2934,1447,0.493183,S3,1x1447 + 1487* (q=743)
2935,887,0.302215,S7f2,2x1024 + 887* (q=443)
2936,729,0.248297,S3,1x729 + 2207* (q=1103)
2937,977,0.332652,S7f2,2x977 + 983* (q=491)
2938,1451,0.493873,S3,1x1451 + 1487* (q=743)
2939,2939,1.000000,S1,"AGL(1,2939)"
2940,1459,0.496259,S3,1x1481 + 1459* (q=3)
2941,961,0.326760,S7f2,2x961 + 1019* (q=509)
2942,1471,0.500000,S2,2x1471
2943,487,0.165477,S11,1x997 + 487* + 1459* (q=3)
2944,1307,0.443954,S3,1x1637 + 1307* (q=653)
2945,743,0.252292,S7f2,2x743 + 1459* (q=3)
2946,1459,0.495248,S3,1x1459 + 1487* (q=743)
2947,557,0.189006,S7f4,4x557 + 719* (q=359)
2948,1459,0.494912,S3,1x1489 + 1459* (q=3)
2949,983,0.333333,S2,3x983
2950,1439,0.487797,S3,1x1511 + 1439* (q=719)
2951,373,0.126398,S7f4,4x373 + 1459* (q=3)
2952,1459,0.494241,S3,1x1493 + 1459* (q=3)
2953,2953,1.000000,S1,"AGL(1,2953)"
2954,563,0.190589,S7f3,3x797 + 563* (q=281)
2955,529,0.179019,S7f4,4x529 + 839* (q=419)
2956,1433,0.484777,S3,1x1433 + 1523* (q=761)
2957,2957,1.000000,S1,"AGL(1,2957)"
2958,1471,0.497295,S3,1x1471 + 1487* (q=743)
2959,587,0.198378,S7f4,4x593 + 587* (q=293)
2960,691,0.233446,S7f3,3x691 + 887* (q=443)
2961,971,0.327930,S7f2,2x971 + 1019* (q=509)
2962,1481,0.500000,S2,2x1481
2963,2963,1.000000,S1,"AGL(1,2963)"
2964,1367,0.461201,S3,1x1597 + 1367* (q=683)
2965,983,0.331535,S7f2,2x991 + 983* (q=491)
2966,1483,0.500000,S2,2x1483
2967,563,0.189754,S7f4,4x601 + 563* (q=281)
2968,1481,0.498989,S3,1x1481 + 1487* (q=743)
2969,2969,1.000000,S1,"AGL(1,2969)"
2970,1483,0.499327,S3,1x1483 + 1487* (q=743)
2971,2971,1.000000,S1,"AGL(1,2971)"
2972,743,0.250000,S2,4x743
2973,991,0.333333,S2,3x991
2974,1487,0.500000,S2,2x1487
2975,512,0.172101,S7f3,3x512 + 1439* (q=719)
2976,1487,0.499664,S3,1x1489 + 1487* (q=743)
2977,983,0.330198,S7f2,2x997 + 983* (q=491)
2978,1489,0.500000,S2,2x1489
2979,529,0.177576,S7f4,4x529 + 863* (q=431)
2980,1487,0.498993,S3,1x1493 + 1487* (q=743)
2981,761,0.255283,S7f2,2x761 + 1459* (q=3)
2982,1459,0.489269,S3,1x1459 + 1523* (q=761)
2983,587,0.196782,S7f4,4x599 + 587* (q=293)
2984,599,0.200737,S7f3,3x599 + 1187* (q=593)
2985,983,0.329313,S7f2,2x983 + 1019* (q=509)
2986,1493,0.500000,S2,2x1493
2987,487,0.163040,S7f4,4x625 + 487* (q=3)
2988,1439,0.481593,S3,1x1549 + 1439* (q=719)
2989,887,0.296755,S7f2,2x1051 + 887* (q=443)
2990,1459,0.487960,S3,1x1531 + 1459* (q=3)
2991,997,0.333333,S2,3x997
2992,1439,0.480949,S3,1x1553 + 1439* (q=719)
2993,421,0.140662,S7f6,6x421 + 467* (q=233)
2994,1471,0.491316,S3,1x1471 + 1523* (q=761)
2995,599,0.200000,S2,5x599
2996,719,0.239987,S7f3,3x719 + 839* (q=419)
2997,857,0.285953,S7f2,2x857 + 1283* (q=641)
2998,1499,0.500000,S2,2x1499
2999,2999,1.000000,S1,"AGL(1,2999)"
3000,1381,0.460333,S3,1x1381 + 1619* (q=809)
3001,3001,1.000000,S1,"AGL(1,3001)"
3002,1459,0.486009,S3,1x1543 + 1459* (q=3)
3003,571,0.190143,S7f4,4x571 + 719* (q=359)
3004,1481,0.493009,S3,1x1481 + 1523* (q=761)
3005,773,0.257238,S7f2,2x773 + 1459* (q=3)
3006,1483,0.493347,S3,1x1483 + 1523* (q=761)
3007,487,0.161955,S11,1x1061 + 487* + 1459* (q=3)
3008,1459,0.485040,S3,1x1549 + 1459* (q=3)
3009,983,0.326687,S7f2,2x1013 + 983* (q=491)
3010,1487,0.494020,S3,1x1487 + 1523* (q=761)
3011,3011,1.000000,S1,"AGL(1,3011)"
3012,1489,0.494356,S3,1x1489 + 1523* (q=761)
3013,997,0.330899,S7f2,2x997 + 1019* (q=509)
3014,709,0.235236,S7f3,3x709 + 887* (q=443)
3015,587,0.194693,S7f4,4x607 + 587* (q=293)
3016,1493,0.495027,S3,1x1493 + 1523* (q=761)
3017,431,0.142857,S2,7x431
3018,1487,0.492710,S3,1x1531 + 1487* (q=743)
3019,3019,1.000000,S1,"AGL(1,3019)"
3020,727,0.240728,S7f3,3x727 + 839* (q=419)
3021,983,0.325389,S7f2,2x1019 + 983* (q=491)
3022,1511,0.500000,S2,2x1511
3023,3023,1.000000,S1,"AGL(1,3023)"
3024,1367,0.452050,S3,1x1657 + 1367* (q=683)
3025,983,0.324959,S7f2,2x1021 + 983* (q=491)
3026,1459,0.482155,S3,1x1567 + 1459* (q=3)
3027,1009,0.333333,S2,3x1009
3028,1409,0.465324,S3,1x1409 + 1619* (q=809)
3029,421,0.138990,S7f6,6x421 + 503* (q=251)
3030,1487,0.490759,S3,1x1543 + 1487* (q=743)
3031,983,0.324315,S7f2,2x1024 + 983* (q=491)
3032,683,0.225264,S7f3,3x683 + 983* (q=491)
3033,863,0.284537,S7f2,2x863 + 1307* (q=653)
3034,1511,0.498022,S3,1x1511 + 1523* (q=761)
3035,607,0.200000,S2,5x607
3036,1487,0.489789,S3,1x1549 + 1487* (q=743)
3037,3037,1.000000,S1,"AGL(1,3037)"
3038,1459,0.480250,S3,1x1579 + 1459* (q=3)
3039,1013,0.333333,S2,3x1013
3040,1487,0.489145,S3,1x1553 + 1487* (q=743)
3041,3041,1.000000,S1,"AGL(1,3041)"
3042,1459,0.479619,S3,1x1583 + 1459* (q=3)
3043,487,0.160039,S11,1x1097 + 487* + 1459* (q=3)
3044,761,0.250000,S2,4x761
3045,1013,0.332677,S7f2,2x1013 + 1019* (q=509)
3046,1523,0.500000,S2,2x1523
3047,487,0.159829,S7f5,5x512 + 487* (q=3)
